Issuing Body,Code,IB Type,Organisational Name,unpaid
Adelaide,ADL,T,Adelaide Airport Limited,unpaid
Airport Security/Security ID,MWS,T,Airport Security/Security ID,unpaid
Albany,ALH,N,Albany Airport,unpaid,included
Albany,ALH,N,Albany Airport,unpaid,included
Albury,ABX,N,Albury City Council,unpaid,included
Alice Springs,ASP,T,Alice Springs Airport,unpaid,included
Argyle,AGY,N,Argyle Diamonds,unpaid
Armidale,ARM,N,Armidale Dumaresq Council,unpaid,included
Aurukun,AUU,N,Aurukun Airport,unpaid
Avalon,AVV,T,Avalon Airport Australia Pty Ltd,unpaid
Ayers Rock,AYQ,T,Ayers Rock Airport,unpaid
Badu Island,BDD,N,Torres Strait Island Regional Council,unpaid
Ballina,BNK,T,Ballina Shire Council (Ballina Byron Gateway Airport),unpaid,included
Bamaga,ABM,N,Bamaga Airport,unpaid
Barcaldine,BCI,N,Barcaldine Shire Council,unpaid
Bathurst,BHS,N,Bathurst Regional Council,unpaid,included
Bathurst Island,BRT,N,Bathurst Island Airport,unpaid
Bedourie,BEU,N,Diamantina Shire Council,unpaid
Birdsville,BVI,N,Birdsville Airport,unpaid
Blackall,BKQ,N,Blackall Shire Council,unpaid
Blackwater,BLT,N,Blackwater Airport,unpaid
Boigu Island,GIC,N,Torres Strait Island Regional Council,unpaid
Boulia,BQL,N,Boulia Airport,unpaid
Bourke ,BRK,N,Bourke Shire Council,unpaid
Brisbane ,BNE,T,Brisbane Airport Corporation,unpaid
Broken Hill ,BHQ,N,Broken Hill City Council Airport,unpaid
Broome,BME,T,Broome International Airport,unpaid,included
Bundaberg,BDB,N,Bundaberg City Council,unpaid,included
Burketown,BUC,N,Burke Shire Council,unpaid
Burnie,BWT,N,Burnie Airport Corporation,unpaid
Cairns,CNS,T,Cairns Airport Pty Ltd,unpaid,included
Cambridge - does not have RPT services,CAM,N,Airlines of Tasmania Pty Ltd,unpaid
Canberra,CBR,T,Canberra International Airport,unpaid
Carnarvon,CBQ,N,Shire of Carnarvon,unpaid
Ceduna,CED,N,Ceduna Airport,unpaid
Charleville,CTL,N,Charleville Airport,unpaid
Christmas Island,XCH,T,Forte Airport Management,unpaid,included
Cloncurry,CNJ,N,Cloncurry Shire Council,unpaid
Cobar ,CAZ,N,Cobar Shire Council,unpaid
Cocos (Keeling) Island,CCK,N,Cocos (Keeling) Islands Airport,unpaid
Coen,CUQ,N,Cook Shire Council,unpaid
Coffs Harbour,CFS,T,Coffs Harbour City Council,unpaid,included
Coober Pedy,CPD,N,District Council of Coober Pedy,unpaid
Cooktown,CTN,N,Cook Shire Council,unpaid
Coolangatta / Gold Coast International ,OOL,N,Gold Coast Airport,unpaid
Cooma (Snowy Mtns),OOM,N,Aeropelican,unpaid
Coonamble ,CNB,N,Coonamble Shire Council,unpaid
Cunnamulla,CMA,N,Paroo Shire Council,unpaid
Darnley/Erub Island,NLF,N,Torres Strait Island Regional Council,unpaid
Darwin,DRW,T,Darwin International Airport,unpaid,included
Derby/Curtin,DRB,N,Shire of Derby/West Kimberley,unpaid
Devonport,DPO,N,TasPorts,unpaid
Doomadgee,DMD,N,Doomadgee Airport,unpaid
Dubbo,DBO,N,Dubbo City Council,unpaid
Elcho Island ,ELC,N,Elcho Island Island,unpaid
Emerald,EMD,N,Central Highlands Regional Council,unpaid,included
Esperance,EPR,N,Shire of Esperance,unpaid
Essendon (RPT),MEB,N,Essendon Airport Pty Ltd,unpaid,included
Fitzroy Crossing,FIZ,N,Fitzroy Crossing Airport,unpaid
Flinders Island,FLS,N,Flinders Council,unpaid
Garden Point,GPN,N,Garden Point  Airport,unpaid
Geraldton,GET,N,Shire of Greenough,unpaid
Gladstone,GLT,N,Gladstone Calliope Aerodrome Board,unpaid,included
Gove Airport,GOV,N,Nhulunbuy Corporation Ltd,unpaid,unpaid,unpaid,included
Grafton,GFN,N,Clarence Valley Council,unpaid
Griffith,GFF,N,Griffith City Council,unpaid
Groote Eyelandt,GTE,N,Gemcov,unpaid
Gunnedah,GUH,N,Gunnedah Shire Council,unpaid
Halls Creek,HCQ,N,Shire of Halls Creek,unpaid
Hamilton,HTI,N,Southern Grampians Shire Council,unpaid
Hamilton Island,HTI,T,Great Barrier Reef Airport - Hamilton Island,unpaid
Hervey Bay,HVB,N,Hervey Bary City Council,unpaid
Hobart,HBA,T,Hobart International Airport,unpaid,included
Hooker Creek/Lajamanu,HOK,N,Lajamanu Community Government Council,unpaid
Horn Island,HID,N,Torres Shire Council,unpaid,included
Hughenden,HGD,N,Flinders Shire Council,unpaid
Illawarra,ILL,N,Shellharbour City Council,unpaid
Inverell,IVR,N,Inverell Shire Council,unpaid
Julia Creek,JCK,N,McKinlay Shire Council,unpaid
Kalbarri,KAX,N,Shire of Northampton,unpaid
Kalgoorlie-Boulder,KGI,N,City of Kalgoorlie-Boulder (Kalgoorlie-Boulder Airport),paid,included
Kalkgurung/Kalkaringi,WAV,N,Daguragu Shire Council,unpaid
Karratha,KTA,N,Shire of Roebourne,paid,included
Karumba,KRB,N,Karumba Airport,unpaid
Katherine/Tindal,KTR,N,Katherine Town Council,unpaid
Kempsey,KPS,N,Kempsey Shire Council,unpaid
King Island,KNS,N,King Island Council,unpaid
Kingscote,KGC,N,Kangaroo Island Council - Kingscote Airport,unpaid
Kowanyama,KWM,N,Kowanyama Airport,unpaid
Kubin/Moa Island,KUG,N,Torres Strait Island Regional Council,unpaid
Kununurra,KNX,N,Shire of Wyndham East Kimberley,unpaid,included
Lake Evella,LEL,N,Lake Evella Airport,unpaid
Latrobe Valley,LTB,N,Latrobe Regional Airport,unpaid
Launceston,LST,T,Australian Pacific Airports - Launceston,unpaid
Laverton,LVO,N,Laverton Airport,unpaid,unpaid
Learmonth,LEA,N,Shire of Exmouth,unpaid,unpaid,included
Leinster,LER,N,Leinster Airport,unpaid
Leonora,LNO,N,Leonora Airport,unpaid
